,exp_risk,exp_return,esg_score
CPT,0.24342598942913615,0.264364016492089,0.1594
CPRT,0.2875934925688161,-0.05571760323172593,0.1805
CPB,0.22713645631946433,-0.038169064930489584,0.23550000000000001
COST,0.2655138130449608,-0.06045445877171266,0.2419
COP,0.3735100691520663,-0.2748167430657396,0.3486
COO,0.29129943561693,0.15901846990801435,0.195
COF,0.37445902484482735,0.24974203231708048,0.2262
CNP,0.21271031908954877,-0.049649176732452234,0.2556
CNC,0.3012424347013708,0.026222336281136314,0.2061
CMS,0.21685086005608412,0.014389413762729952,0.21289999999999998
CMI,0.2635802914533942,0.032216393690134126,0.1936
CMG,0.344358940177251,-0.0014782267008848383,0.2364
CME,0.2181609223012031,-0.03477847665774413,0.1459
CMCSA,0.2763362946605358,0.1180371605233051,0.24760000000000001
CMA,0.5088541725059034,0.35334892130058937,0.2597
CLX,0.28804945489753087,0.1187680308665952,0.2114
CL,0.18449521939231733,-0.00551370626684884,0.2212
CINF,0.2999715047235117,0.06972863461892069,0.2562
CHTR,0.35865370257463264,0.24695050392535542,0.26530000000000004
BIO,0.38260075830056045,0.4996923325306743,0.16870000000000002
BIIB,0.3675005352368871,0.06112683299918436,0.21050000000000002
BG,0.3144343383434976,-0.09644390851312508,0.34090000000000004
AMAT,0.4419478243788778,0.023351020362531547,0.11560000000000001
ALLE,0.29106552583776174,0.13238360770245322,0.2372
ALL,0.2917581475066495,-0.03742291154150135,0.19219999999999998
ALB,0.5017314072719811,0.31507682030385054,0.28800000000000003
AKAM,0.2789457152473124,0.017254486189881613,0.1655
AJG,0.22513526544714826,-0.18677919718342123,0.21280000000000002
AIZ,0.27379510340314095,0.02238144080579186,0.24480000000000002
AIG,0.3048385534346596,-0.029549559876393523,0.2532
AFL,0.22110310502073557,-0.19946080522973023,0.17300000000000001
AES,0.3311573232877013,0.24411296296063387,0.34149999999999997
AEP,0.21841309348588767,0.022638833385659207,0.2581
AEE,0.2104780756747798,0.017176172965909058,0.2953
ADSK,0.4214147668252698,0.23931299862538427,0.1605
ADP,0.2515742580486605,-0.012507973453849708,0.13970000000000002
ADM,0.2723286243324278,-0.08224544479641487,0.364
ADI,0.3176853587094584,0.023963483601464115,0.2378
ADBE,0.41053273067308843,0.1106036208536219,0.1246
ACN,0.2893732235952994,0.08424317187045435,0.0971
ACGL,0.2615163837308748,-0.3338329545267908,0.2075
ABT,0.2384965292460085,0.1413101354447693,0.2498
ABBV,0.2107220531452729,-0.1578953037080778,0.2784
AAPL,0.2979793503650919,-0.06320699141267601,0.1668
AAL,0.4858619614551236,0.28923246804435654,0.29100000000000004
AME,0.22002954795805724,-0.02808347045392471,0.2408
AMGN,0.20914730873531354,-0.16005727066528766,0.22039999999999998
AMP,0.31350249475750436,-0.03370266701326693,0.2261
BF-B,0.2341031996959288,0.10116981904694122,0.22
BEN,0.32982744831902094,0.17435914283200177,0.1818
BDX,0.2140680295658693,-0.04931071807934597,0.26739999999999997
BBY,0.38144340060494547,0.27306596117097687,0.14150000000000001
BBWI,0.504245308138818,0.4430783404831354,0.155
BAX,0.31583620086927944,0.4331895312140747,0.23739999999999997
BALL,0.3727322076694409,0.3313125765761171,0.1081
BAC,0.2917057903193864,0.28019934921125206,0.27149999999999996
BA,0.3974206128817154,0.09130287519783442,0.3468
AZO,0.26568170245526646,-0.1616472716957008,0.1104
AXP,0.32115003215475235,0.08457595183783755,0.1838
AWK,0.24006981299405547,0.17758272711766449,0.2189
CTSH,0.2991145290924136,0.08859739754056524,0.1438
AVY,0.28910695295720884,0.10945007839881311,0.15380000000000002
AVB,0.24552829537478552,0.13613316332926878,0.10529999999999999
ATO,0.21346586186756605,-0.10453393693974092,0.3479
ARE,0.2983997478187691,0.3586697014526056,0.13849999999999998
APTV,0.42503366935927356,0.3413564172040531,0.1151
APH,0.2507596007818793,-0.031664530904976375,0.21350000000000002
APD,0.25211072824934816,0.011124933540793403,0.1081
APA,0.5172209863055514,-0.2211270847210109,0.3881
AOS,0.2985871753142187,0.022990952093434713,0.25429999999999997
AON,0.2358959133620316,-0.027353748575535856,0.23
ANSS,0.35787999687142386,0.17010163679290305,0.1305
ANET,0.456565789910678,-0.25673203511529263,0.16399999999999998
